"pk_account_id","user_id","type","description","active","created_at","updated_at"
"10f5680f-0599-4fea-8d5d-b8da687bd68f","c143c152-486f-4b52-8aef-ad0c9a5f7996","creator",NULL,True,"2022-06-09 03:23:27.695893","2022-06-09 03:23:27.695893"
"cd564db1-63ac-491c-981a-567ca1d137a1","179478f8-aa3d-4186-b21a-d7841e5642d0","regular_user",NULL,True,"2022-06-09 23:53:48.403983","2022-06-09 23:53:48.403983"
"3b98681d-6696-4982-b689-1ab058997afb","799a240c-acd8-4836-8a10-547d7678ee1a","regular_user",NULL,True,"2022-06-10 00:05:49.90981","2022-06-10 00:05:49.90981"
"f8dfb822-a165-4bde-87eb-5ac49978e00f","d889a031-b03b-4a06-bb62-e9d130e88dc1","regular_user",NULL,True,"2022-06-10 00:05:59.967968","2022-06-10 00:05:59.967968"
"9fcda3ba-3587-4f94-8a74-a19ac39a808a","106aa487-cc01-43c6-ac14-ee3015e506cb","creator",NULL,True,"2022-06-10 00:36:44.527298","2022-06-10 00:36:44.527298"
"d21dd437-2997-4fe7-824d-e71e10d0313e","b8dc06b2-4b9e-4283-a80c-e5346c74f9b6","regular_user",NULL,True,"2022-06-10 04:41:10.639331","2022-06-10 04:41:10.639331"
"0dffd4c9-1b2a-4a9d-8180-53fd3e106bb9","604cdfd1-0f35-4068-9a3c-f68027f57f61","creator",NULL,True,"2022-06-10 07:36:40.058442","2022-06-10 07:36:40.058442"
"85482c61-3eef-4bd0-a692-7f1014cf8a85","bed8535e-c4aa-4cc6-867d-484f45e7d147","creator",NULL,True,"2022-06-10 07:37:46.948309","2022-06-10 07:37:46.948309"
"9d051b93-ab80-4be2-8410-2924bce9237c","ed6c9d7b-7b7f-4629-b7e9-1cb9af116a5e","regular_user",NULL,True,"2022-06-10 08:22:43.02617","2022-06-10 08:22:43.02617"
"c1e8693c-9f89-4d84-9667-d1622e718ff1","76eb5209-1fee-4951-9784-605f512ff584","regular_user",NULL,True,"2022-06-13 01:58:37.483503","2022-06-13 01:58:37.483503"
"680239bf-53bb-42a0-928a-07b6b16a2951","9123f0a4-25ae-4ab1-91b6-80b49213dab1","regular_user",NULL,True,"2022-06-13 01:58:39.364492","2022-06-13 01:58:39.364492"
"b8e7e103-0e64-4ed8-850b-9ceaba680769","48a0939f-920c-4e79-8ee1-6aba2df95ffa","regular_user",NULL,True,"2022-06-13 04:51:30.933057","2022-06-13 04:51:30.933057"
"2ab9792b-ee7b-4604-b7bb-5d17dc0cc4b9","c6563216-9727-4508-89bf-329e2c217c53","regular_user",NULL,True,"2022-06-13 13:08:19.261335","2022-06-13 13:08:19.261335"
"5deeed39-9e4e-44c1-a2a5-e1b231d93c57","b2761fe1-c52b-4b60-bae9-07858799f84a","regular_user",NULL,True,"2022-06-14 01:13:06.698933","2022-06-14 01:13:06.698933"
"91dd95a6-6a4d-4afe-b518-2af42f794c07","e3a45cea-b481-443e-a7d8-9515f153d735","regular_user",NULL,True,"2022-06-14 10:48:00.288752","2022-06-14 10:48:00.288752"
"e53cbdb2-8110-4dca-b6ec-7431f840d06c","302e3d22-5d4a-463f-80ca-4e3881547755","regular_user",NULL,True,"2022-06-14 12:42:12.665879","2022-06-14 12:42:12.665879"
"54e208cd-a504-49ad-8de1-ff36f9ce9b9b","b78facac-3513-488f-8cc9-a932c770f003","regular_user",NULL,True,"2022-06-14 12:42:13.997706","2022-06-14 12:42:13.997706"
"17d53cdf-a16d-4311-aecd-88e6209da671","6f9d19e9-ce50-42d1-9511-92bd8d18574c","regular_user",NULL,True,"2022-06-14 12:42:18.199963","2022-06-14 12:42:18.199963"
"48b434ca-de88-4e71-b079-29280e03cb55","ebfa359f-21ef-43e0-a613-d0458d67fecd","regular_user",NULL,True,"2022-06-14 15:30:45.632925","2022-06-14 15:30:45.632925"
